,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,MANUFACTURED_YEAR,TRANSMISSION,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
2117,16,78800.0,9470.0,16000.0,2019,0,12556.0,31759.0,2768.0,1591.0,1345.0,1.0,3
2118,14,52800.0,10970.0,108543.0,2015,0,19772.0,46009.0,1581.0,1496.0,1190.0,3.0,4
2119,14,69800.0,11910.0,78000.0,2016,0,20992.0,50101.0,1493.0,1597.0,1249.0,2.0,3
2122,29,12800.0,11830.0,139000.0,2008,0,22133.0,20441.0,365.0,1999.0,1449.0,3.0,1
2124,38,116800.0,37060.0,88000.0,2013,0,88929.0,77110.0,488.0,3598.0,2105.0,2.0,4
2126,3,138000.0,12930.0,6500.0,2021,0,31057.0,48510.0,3380.0,1499.0,1340.0,1.0,0
2127,38,259868.0,31830.0,120000.0,2009,0,130640.0,33568.0,2957.0,3614.0,1530.0,4.0,5
2132,48,116800.0,15810.0,36000.0,2018,0,33308.0,37330.0,2227.0,1998.0,1695.0,1.0,4
2133,14,83800.0,13520.0,65280.0,2017,0,27298.0,48209.0,1919.0,1498.0,1324.0,1.0,3
2134,35,56500.0,11020.0,36093.0,2016,0,19640.0,50951.0,1461.0,999.0,1203.0,1.0,6
2135,31,70800.0,18070.0,90000.0,2014,0,46713.0,68689.0,887.0,1991.0,1680.0,1.0,1
2139,29,142800.0,13890.0,7900.0,2020,0,23791.0,56100.0,3405.0,1998.0,1453.0,1.0,4
2141,48,57900.0,7390.0,146000.0,2009,0,12717.0,31976.0,2834.0,1497.0,1095.0,3.0,3
2143,48,35800.0,7810.0,153000.0,2006,0,19488.0,56835.0,1648.0,1794.0,1320.0,2.0,2
2144,49,36288.0,10480.0,109442.0,2010,0,23903.0,16095.0,1250.0,1390.0,1285.0,3.0,5
2145,38,148800.0,17930.0,142000.0,2010,0,128402.0,33568.0,3015.0,4806.0,1875.0,6.0,5
2146,16,23800.0,7520.0,108000.0,2010,0,11597.0,16438.0,1133.0,1591.0,1264.0,2.0,3
2148,3,289000.0,28810.0,18500.0,2020,0,63318.0,36502.0,3101.0,2998.0,1670.0,2.0,1
2150,26,54000.0,18290.0,72000.0,2013,0,32589.0,78810.0,731.0,1598.0,1230.0,2.0,5
2152,32,125800.0,12940.0,10000.0,2020,0,18809.0,46002.0,2953.0,1998.0,1480.0,1.0,4
2154,7,38800.0,9560.0,75500.0,2015,0,18320.0,56989.0,1370.0,1199.0,975.0,3.0,4
2156,3,93000.0,45120.0,93000.0,2013,0,77959.0,94890.0,426.0,2979.0,1750.0,4.0,1
2157,23,112388.0,16200.0,105943.0,2017,0,40888.0,50101.0,1945.0,2494.0,1615.0,2.0,1
2159,31,79800.0,9290.0,143142.0,2011,0,30295.0,33140.0,3108.0,1597.0,1500.0,4.0,1
2160,31,88800.0,9030.0,83000.0,2012,0,30319.0,50570.0,3564.0,1597.0,1500.0,2.0,1
2162,38,180888.0,102150.0,97000.0,2013,0,73507.0,95501.0,493.0,2706.0,1340.0,4.0,5
2166,49,94800.0,13220.0,45000.0,2017,0,23104.0,37989.0,2258.0,1395.0,1288.0,1.0,2
2167,20,41800.0,8490.0,89000.0,2011,0,13333.0,27020.0,1469.0,1591.0,1261.0,1.0,3
2171,31,148700.0,20600.0,51506.0,2017,0,59745.0,55414.0,1917.0,1991.0,1615.0,1.0,1
2172,48,41800.0,9710.0,65980.0,2015,0,14822.0,62019.0,1370.0,1496.0,1090.0,3.0,3
2173,34,28800.0,13000.0,130000.0,2013,0,14872.0,73160.0,635.0,1598.0,1205.0,2.0,3
2174,31,202988.0,19260.0,28.0,2020,0,34557.0,61001.0,3440.0,1332.0,1485.0,1.0,4
2175,49,78888.0,13870.0,44568.0,2016,0,24957.0,53001.0,1832.0,1395.0,1288.0,1.0,0
2176,34,59800.0,9060.0,43500.0,2018,0,13305.0,36426.0,2284.0,1198.0,1048.0,1.0,0
2177,6,39800.0,8440.0,41000.0,2015,0,13658.0,45002.0,1099.0,1398.0,1220.0,1.0,3
2181,31,128800.0,26990.0,78000.0,2013,0,51847.0,61001.0,1275.0,1991.0,1765.0,2.0,5
2183,48,81000.0,10020.0,33000.0,2019,0,17506.0,29159.0,2619.0,1496.0,1325.0,1.0,2
2184,31,79800.0,9450.0,140000.0,2010,0,45292.0,32914.0,3078.0,1796.0,1505.0,2.0,1
2185,14,54800.0,10680.0,82208.0,2016,0,17528.0,53334.0,1643.0,1498.0,1046.0,2.0,0
2186,32,52800.0,9440.0,85365.0,2016,0,13178.0,51507.0,1460.0,1590.0,1284.0,1.0,3
2187,48,112000.0,16030.0,70500.0,2016,0,42385.0,50001.0,1953.0,2362.0,1760.0,2.0,2
2188,48,143800.0,23000.0,149000.0,2008,0,64331.0,38712.0,2259.0,4663.0,2500.0,3.0,4
2191,14,139800.0,15340.0,45000.0,2019,0,39894.0,38602.0,2741.0,1498.0,1481.0,1.0,1
2192,14,63800.0,11760.0,80000.0,2016,0,19541.0,51506.0,1672.0,1597.0,1249.0,3.0,3
2193,17,77900.0,15510.0,48000.0,2015,0,29932.0,55001.0,1126.0,1991.0,1644.0,2.0,1
2194,48,119800.0,15650.0,76568.0,2018,0,33308.0,31000.0,2310.0,1998.0,1695.0,1.0,4
2196,48,110800.0,15350.0,96000.0,2016,0,36313.0,57390.0,2100.0,2362.0,1790.0,1.0,2
2197,31,68800.0,23330.0,97000.0,2013,0,49883.0,76901.0,365.0,1991.0,1680.0,4.0,1
2199,31,103800.0,70330.0,56000.0,2012,0,101244.0,80001.0,271.0,6208.0,1730.0,4.0,5
2200,7,116800.0,13320.0,32370.0,2019,0,22332.0,35320.0,2563.0,1199.0,1320.0,1.0,2
2201,40,169999.0,17790.0,14122.0,2019,0,30425.0,39256.0,3107.0,1798.0,1430.0,1.0,5
2204,49,139800.0,23240.0,63600.0,2016,0,40089.0,53001.0,1490.0,1984.0,1420.0,1.0,5
2206,3,50000.0,15090.0,42816.0,2014,0,30707.0,72990.0,883.0,1598.0,1405.0,1.0,1
2208,31,83000.0,14120.0,74698.0,2016,0,23830.0,49430.0,1860.0,1595.0,1395.0,2.0,0
2210,48,10500.0,8390.0,156000.0,2007,0,13811.0,19107.0,455.0,1496.0,1210.0,3.0,2
2213,48,108000.0,17060.0,105000.0,2016,0,34306.0,54406.0,1860.0,2362.0,1770.0,1.0,2
2215,47,50800.0,7090.0,138000.0,2009,0,11871.0,26175.0,2593.0,1328.0,1040.0,3.0,0
2216,29,93800.0,12520.0,44182.0,2018,0,22376.0,32001.0,2378.0,1998.0,1515.0,1.0,1
2218,14,14888.0,9500.0,161000.0,2008,0,17619.0,16689.0,548.0,1799.0,1350.0,3.0,2
2220,49,71900.0,12860.0,29281.0,2016,0,23827.0,49430.0,1495.0,1395.0,1249.0,1.0,0
2222,31,111888.0,17420.0,90000.0,2015,0,31671.0,48001.0,1951.0,1595.0,1430.0,1.0,1
2223,0,189800.0,20990.0,25037.0,2017,0,52656.0,39400.0,2705.0,1995.0,1504.0,1.0,5
2226,49,73800.0,17720.0,89000.0,2015,0,22081.0,57301.0,1311.0,1395.0,1383.0,1.0,0
2227,48,97800.0,10080.0,4000.0,2019,0,22854.0,41801.0,3354.0,1496.0,1320.0,1.0,2
2228,41,428000.0,54020.0,57000.0,2010,0,344784.0,39463.0,2564.0,6592.0,2360.0,6.0,1
2230,2,112888.0,12770.0,72000.0,2008,0,49509.0,40714.0,3199.0,1984.0,1390.0,4.0,5
2231,3,115000.0,23820.0,71000.0,2014,0,58803.0,74501.0,1191.0,1997.0,1700.0,5.0,5
2234,49,38800.0,12280.0,150000.0,2010,0,24029.0,16438.0,1131.0,1390.0,1285.0,6.0,5
2235,20,68800.0,11680.0,118000.0,2016,0,23112.0,54200.0,1462.0,1999.0,1500.0,1.0,4
2236,18,110800.0,14110.0,33541.0,2017,0,36829.0,38501.0,2288.0,1998.0,1679.0,2.0,1
2237,3,185800.0,20030.0,15000.0,2019,0,55131.0,40002.0,2712.0,1998.0,1470.0,3.0,1
2239,27,212000.0,21740.0,66000.0,2011,0,101787.0,66387.0,3533.0,4244.0,1880.0,5.0,5
2240,29,55000.0,10300.0,79000.0,2016,0,20134.0,49156.0,1588.0,1998.0,1535.0,1.0,2
2241,3,217800.0,22770.0,22000.0,2019,0,47622.0,32801.0,3017.0,1998.0,1730.0,1.0,4
2242,32,59500.0,8540.0,45100.0,2018,0,13222.0,28000.0,2409.0,1193.0,940.0,1.0,3
2244,14,60800.0,10550.0,96825.0,2016,0,20859.0,51106.0,1887.0,1496.0,1190.0,2.0,4
2246,3,130000.0,14890.0,64000.0,2019,0,35726.0,35906.0,2648.0,1499.0,1430.0,3.0,4
2248,3,90000.0,10700.0,174000.0,2010,0,44384.0,33568.0,3047.0,2497.0,1650.0,4.0,1
2253,48,49800.0,11750.0,67702.0,2015,0,17804.0,56209.0,1246.0,1598.0,1205.0,2.0,3
2255,3,83800.0,21600.0,118000.0,2013,0,56289.0,67304.0,826.0,1997.0,1700.0,1.0,1
2256,20,57800.0,6940.0,131000.0,2010,0,11341.0,32875.0,3015.0,1591.0,1251.0,4.0,3
2258,14,43888.0,11080.0,63000.0,2015,0,17639.0,58700.0,1215.0,1497.0,1096.0,2.0,3
