,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
38,https://www.sgcarmart.com/used_cars/info.php?ID=1025816&DL=1269,Bentley,244800,267860,28-Sep-2012,115000,2012,3940,Auto,96304,02/03/2022,182849,182849,85216,185,3993,2295,4,Sports Car
39,https://www.sgcarmart.com/used_cars/info.php?ID=1058312&DL=2469,Audi,93800,15880,24-Mar-2017,52072,2017,624,Auto,47167,02/03/2022,32091,26928,53300,1826,1395,1450,1,Luxury Sedan
40,https://www.sgcarmart.com/used_cars/info.php?ID=1075202&DL=3900,Skoda,65800,9490,20-Mar-2018,20000,2017,392,Auto,34844,02/03/2022,16755,16755,36810,2197,999,1299,2,Hatchback
41,https://www.sgcarmart.com/used_cars/info.php?ID=1066836&DL=1120,Mercedes-Benz,83800,17980,15-May-2015,110000,2014,1202,Auto,58913,02/03/2022,46713,52399,77600,1157,1991,1680,3,Luxury Sedan
42,https://www.sgcarmart.com/used_cars/info.php?ID=1057006&DL=4107,Volkswagen,108880,11890,28-Apr-2011,55000,2011,1313,Auto,43336,02/03/2022,25916,25916,47316,3320,1984,1648,4,SUV
43,https://www.sgcarmart.com/used_cars/info.php?ID=1066489&DL=2870,Honda,90988,10820,25-Nov-2019,26000,"
Stationwagon ",682,2018,41652,02/03/2022,,,39700,2797,1496,1190,1,
44,https://www.sgcarmart.com/used_cars/info.php?ID=1071250&DL=2080,Toyota,88800,11590,09-Jan-2019,,"
Hatchback ",974,2018,35150,02/03/2022,,,31809,2196,1797,1360,1,
45,https://www.sgcarmart.com/used_cars/info.php?ID=1065190&DL=3766,BMW,203000,,N.A.,8800,Auto,1208,"$30,559",,02/03/2022,,,,,1995,,,SUV
46,https://www.sgcarmart.com/used_cars/info.php?ID=999871&DL=3895,Honda,60500,12080,20-Dec-2016,100288,"
SUV ",682,2016,25703,02/03/2022,,,46229,1737,1496,1280,1,
47,https://www.sgcarmart.com/used_cars/info.php?ID=1060398&DL=2025,Honda,70888,9650,14-Mar-2019,44188,2019,578,Auto,24301,02/03/2022,15949,5949,28199,2556,1318,1052,1,Hatchback
48,https://www.sgcarmart.com/used_cars/info.php?ID=1037420&DL=2689,BMW,67777,16400,10-Sep-2014,,2013,1210,Auto,50037,02/03/2022,46945,52723,74403,917,1997,1615,3,Luxury Sedan
49,https://www.sgcarmart.com/used_cars/info.php?ID=995980&DL=3518,Toyota,19800,9660,20-Mar-2009,,2008,965,Auto,5231,02/03/2022,16167,16167,12763,737,1598,1195,3,Mid-Sized Sedan
50,https://www.sgcarmart.com/used_cars/info.php?ID=1056614&DL=3813,Lexus,172800,22050,03-Aug-2017,33000,"
Luxury Sedan ",3100,2017,107021,02/03/2022,,,50526,1975,3456,1825,2,
51,https://www.sgcarmart.com/used_cars/info.php?ID=1038679&DL=1172,Bentley,96800,24180,03-Mar-2006,102000,2005,10611,Auto,20387,02/03/2022,192662,211929,50932,1460,5998,2525,5,Luxury Sedan
52,https://www.sgcarmart.com/used_cars/info.php?ID=1038488&DL=3283,BMW,102800,10270,28-Feb-2013,85000,2012,742,Auto,,02/03/2022,34105,24105,,0,1598,1405,3,Luxury Sedan
53,https://www.sgcarmart.com/used_cars/info.php?ID=1074918&DL=1001,Mazda,63800,10310,14-Nov-2017,62981,2017,682,Auto,33236,02/03/2022,14937,9937,45201,2066,1496,1310,1,Mid-Sized Sedan
54,https://www.sgcarmart.com/used_cars/info.php?ID=1043021&DL=1213,BMW,206800,20010,15-Oct-2020,17262,2020,1210,Auto,86698,02/03/2022,53590,68462,40989,3132,1998,1540,1,Luxury Sedan
55,https://www.sgcarmart.com/used_cars/info.php?ID=1068315&DL=2175,Mercedes-Benz,86800,18870,18-May-2015,88000,2014,1202,Auto,58976,02/03/2022,46713,52399,77600,1160,1991,1680,1,Luxury Sedan
56,https://www.sgcarmart.com/used_cars/info.php?ID=1075282&DL=2277,Honda,97800,11190,24-Oct-2019,31178,2019,682,Auto,42696,02/03/2022,23125,24375,31917,2766,1496,1200,1,SUV
57,https://www.sgcarmart.com/used_cars/info.php?ID=1045345&DL=2150,Toyota,8100,10830,17-Jan-2008,,2007,1026,Auto,3141,02/03/2022,12466,13713,20997,248,1497,1095,1,Mid-Sized Sedan
58,https://www.sgcarmart.com/used_cars/info.php?ID=1050982&DL=1000,Renault,23300,,28-Jan-2015,,2014,,Auto,15159,02/03/2022,,18107,52100,735,1598,1340,3,Van
59,https://www.sgcarmart.com/used_cars/info.php?ID=1034877&DL=4147,Mercedes-Benz,264988,24210,27-Sep-2021,88,"
Stationwagon ",,2021,115167,02/03/2022,,,68310,3469,1991,1795,1,
60,https://www.sgcarmart.com/used_cars/info.php?ID=1067793&DL=2440,Honda,71800,11370,21-Dec-2017,32000,2017,682,Auto,33252,02/03/2022,21116,11563,42339,2103,1496,1190,1,SUV
61,https://www.sgcarmart.com/used_cars/info.php?ID=1069944&DL=3028,Opel,119000,11760,12-Oct-2021,5000,2021,508,Auto,55008,02/03/2022,24856,11799,48000,3504,1199,1320,1,Mid-Sized Sedan
62,https://www.sgcarmart.com/used_cars/info.php?ID=1055117&DL=1000,Chrysler,79888,13470,17-Nov-2015,53000,"
MPV ",3036,2014,60190,02/03/2022,,,57501,1339,2776,2242,1,
63,https://www.sgcarmart.com/used_cars/info.php?ID=1044613&DL=4064,Mercedes-Benz,81800,16570,31-Mar-2016,60000,2015,740,Auto,38266,02/03/2022,29600,28440,45000,1468,1595,1460,2,Stationwagon
64,https://www.sgcarmart.com/used_cars/info.php?ID=1073156&DL=1000,Toyota,95000,10750,05-Jan-2011,120500,2010,2434,Auto,35984,02/03/2022,26554,26554,40714,3199,2694,1705,6,SUV
65,https://www.sgcarmart.com/used_cars/info.php?ID=866966&DL=3003,Mercedes-Benz,708000,,N.A.,10,Auto,3922,"$88,888",,02/03/2022,,,,,3982,,,Luxury Sedan
66,https://www.sgcarmart.com/used_cars/info.php?ID=1063001&DL=2140,Hyundai,42800,8830,24-Feb-2016,85000,2015,238,Auto,20267,02/03/2022,15245,15245,26000,1126,1591,1292,1,Mid-Sized Sedan
67,https://www.sgcarmart.com/used_cars/info.php?ID=1059940&DL=3932,BMW,140800,28660,29-May-2015,77560,2014,2362,Auto,86583,02/03/2022,68781,95806,75002,1161,2979,2025,2,SUV
68,https://www.sgcarmart.com/used_cars/info.php?ID=1072366&DL=1000,Mercedes-Benz,32800,22380,17-Dec-2012,134000,2012,740,Auto,19752,02/03/2022,30160,30160,59004,274,1595,1485,3,Luxury Sedan
69,https://www.sgcarmart.com/used_cars/info.php?ID=1072948&DL=3470,Toyota,62800,12950,27-Oct-2016,58259,"
MPV ",682,2016,26774,02/03/2022,,,50000,1674,1496,1380,1,
70,https://www.sgcarmart.com/used_cars/info.php?ID=1063730&DL=3707,Toyota,93800,9980,05-Oct-2020,,2019,682,Auto,40158,02/03/2022,24329,16061,32699,3132,1496,1320,1,MPV
71,https://www.sgcarmart.com/used_cars/info.php?ID=1070871&DL=2191,Jeep,84800,12240,27-Dec-2017,37698,2017,608,Auto,51567,02/03/2022,25044,27062,53711,2099,1368,1395,1,SUV
72,https://www.sgcarmart.com/used_cars/info.php?ID=1074343&DL=3741,Nissan,63800,6960,30-Apr-2021,9200,2020,,Auto,33115,02/03/2022,,21931,36134,3322,1597,1220,1,Van
73,https://www.sgcarmart.com/used_cars/info.php?ID=1039287&DL=3003,Porsche,535888,102220,02-Nov-2015,19800,2015,3638,Auto,230798,02/03/2022,194027,321249,59889,1305,3800,1670,2,Sports Car
74,https://www.sgcarmart.com/used_cars/info.php?ID=1050320&DL=3030,Toyota,62800,,15-Nov-2021,,2021,,Auto,31516,02/03/2022,,28281,32459,3527,1998,1680,2,Van
75,https://www.sgcarmart.com/used_cars/info.php?ID=1071070&DL=3122,Mercedes-Benz,88888,15280,31-Mar-2017,53467,2016,740,Auto,41420,02/03/2022,25411,22576,48209,1833,1595,1395,3,Hatchback
76,https://www.sgcarmart.com/used_cars/info.php?ID=966297&DL=3382,Toyota,36998,8250,26-Aug-2011,115882,2011,752,Auto,20791,02/03/2022,11356,11356,23179,1613,1497,1095,3,Mid-Sized Sedan
77,https://www.sgcarmart.com/used_cars/info.php?ID=1001151&DL=3324,BMW,284389,,N.A.,100,Auto,,Petrol-Electric,,02/03/2022,58296,,,,1998,,,Stationwagon
